Thumb,Index,Middle,Ring,Pinky,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,gesture
0.0155,0.0,0.0,0.0,0.2187,4343.59,17186.89,-17833.49,341.51,-142.61,139.36,HELLO
0.0117,0.0,0.0,0.0,0.2681,4743.59,17558.89,-17773.49,304.51,-437.61,60.36,HELLO
0.0155,0.0,0.0,0.0,0.2504,4783.59,17338.89,-17805.49,27.51,-34.61,-193.64,HELLO
0.0104,0.0,0.0,0.0,0.187,4375.59,17310.89,-17801.49,-52.49,55.39,-189.64,HELLO
0.0104,0.0,0.0,0.0,0.0743,4679.59,17230.89,-17737.49,-34.49,-150.61,-67.64,HELLO
0.0155,0.0,0.0,0.0037,0.0004,4679.59,17362.89,-17693.49,2.51,80.39,-135.64,HELLO
0.0028,0.0,0.0,0.1012,0.0,4847.59,17362.89,-17801.49,-24.49,294.39,-165.64,HELLO
0.0041,0.0,0.0,0.1317,0.0,4967.59,17318.89,-17705.49,-78.49,147.39,-32.64,HELLO
0.0053,0.0,0.0,0.0768,0.0144,4895.59,17386.89,-17889.49,-15.49,390.39,-74.64,HELLO
0.0104,0.0,0.0,0.0,0.1272,5063.59,17542.89,-18085.49,-196.49,97.39,53.36,HELLO
0.0155,0.0,0.0,0.0,0.2082,5011.59,17674.89,-17801.49,-296.49,81.39,34.36,HELLO
0.0142,0.0,0.0,0.0,0.2504,4943.59,17446.89,-17677.49,-337.49,-22.61,89.36,HELLO
0.0167,0.0,0.0,0.0,0.2469,4819.59,17402.89,-17513.49,-179.49,158.39,68.36,HELLO
0.0091,0.0,0.0,0.0,0.187,4583.59,17242.89,-17549.49,111.51,-112.61,183.36,HELLO
0.0041,0.0,0.0,0.0,0.1201,4939.59,17526.89,-17441.49,233.51,-30.61,199.36,HELLO
0.0104,0.0,0.0,0.0,0.0144,4831.59,17342.89,-17649.49,224.51,311.39,72.36,HELLO
0.0041,0.0,0.0,0.0829,0.0,4563.59,17402.89,-17805.49,179.51,167.39,60.36,HELLO
0.0053,0.0,0.0,0.1012,0.0,4679.59,17290.89,-17797.49,117.51,-44.61,-8.64,HELLO
0.0041,0.0,0.0,0.022,0.0391,4951.59,17202.89,-17825.49,79.51,-31.61,-39.64,HELLO
0.0129,0.0,0.0,0.0,0.1342,4951.59,17318.89,-17845.49,-86.49,242.39,-219.64,HELLO
0.0155,0.0,0.0,0.0,0.2082,4747.59,17166.89,-17797.49,-183.49,77.39,-160.64,HELLO
0.0053,0.0,0.0,0.0,0.2434,4791.59,17126.89,-17613.49,-92.49,-142.61,-100.64,HELLO
0.0167,0.0,0.0,0.0,0.2434,4919.59,17398.89,-17425.49,-47.49,-87.61,-27.64,HELLO
0.0091,0.0,0.0,0.0,0.18,4967.59,17278.89,-17561.49,-103.49,341.39,-90.64,HELLO
0.0066,0.0,0.0,0.0,0.0849,4823.59,17326.89,-17825.49,-85.49,68.39,-2.64,HELLO
0.0041,0.0,0.0,0.0,0.0004,4883.59,17470.89,-17877.49,-69.49,-184.61,-12.64,HELLO
0.0041,0.0,0.0,0.0951,0.0,5263.59,17782.89,-17809.49,-238.49,16.39,-164.64,HELLO
0.0041,0.0,0.0,0.1195,0.0,4959.59,17766.89,-17705.49,-379.49,-77.61,-107.64,HELLO
0.0104,0.0,0.0,0.0341,0.0285,4759.59,17478.89,-17525.49,-338.49,-174.61,-82.64,HELLO
0.0104,0.0,0.0,0.0,0.1307,4743.59,17314.89,-17541.49,-27.49,-120.61,-65.64,HELLO
0.0091,0.0,0.0,0.0,0.2223,4799.59,17502.89,-17537.49,141.51,-3.61,4.36,HELLO
0.0155,0.0,0.0,0.0,0.2469,4831.59,17290.89,-17521.49,121.51,7.39,99.36,HELLO
0.0142,0.0,0.0,0.0,0.2399,4451.59,17282.89,-17745.49,305.51,158.39,117.36,HELLO
0.0066,0.0,0.0,0.0,0.18,4795.59,17342.89,-17697.49,337.51,-193.61,104.36,HELLO
0.0041,0.0,0.0,0.0,0.0743,4763.59,17318.89,-17629.49,265.51,164.39,-133.64,HELLO
0.0003,0.0,0.0,0.0037,0.0039,4879.59,17326.89,-17681.49,107.51,400.39,-234.64,HELLO
0.0041,0.0,0.0,0.089,0.0,4775.59,17190.89,-17685.49,46.51,60.39,-87.64,HELLO
0.0053,0.0,0.0,0.0463,0.0039,4803.59,17318.89,-17673.49,29.51,198.39,-243.64,HELLO
0.0041,0.0,0.0,0.0,0.0708,4899.59,17326.89,-17769.49,-65.49,-14.61,-186.64,HELLO
0.0066,0.0,0.0,0.0,0.1694,5199.59,17470.89,-17889.49,-185.49,120.39,-199.64,HELLO
0.0104,0.0,0.0,0.0,0.2469,4711.59,17450.89,-17965.49,-275.49,273.39,-217.64,HELLO
0.0167,0.0,0.0,0.0,0.2751,4795.59,17450.89,-17769.49,-376.49,-380.61,6.36,HELLO
0.0142,0.0,0.0,0.0,0.2434,4931.59,17418.89,-17477.49,-186.49,-241.61,19.36,HELLO
0.0041,0.0,0.0,0.0,0.187,4723.59,17426.89,-17437.49,52.51,-228.61,36.36,HELLO
0.0104,0.0,0.0,0.0,0.0955,4795.59,17594.89,-17537.49,52.51,-220.61,49.36,HELLO
0.0028,0.0,0.0,0.0,0.0144,4655.59,17294.89,-17761.49,221.51,-88.61,2.36,HELLO
0.0028,0.0,0.0,0.0463,0.0,4683.59,17430.89,-17749.49,347.51,97.39,-2.64,HELLO
0.0079,0.0,0.0,0.0,0.0321,4755.59,17446.89,-17841.49,315.51,-27.61,-61.64,HELLO
0.0091,0.0,0.0,0.0,0.106,4779.59,17438.89,-17917.49,167.51,-62.61,-41.64,HELLO
0.0028,0.0,0.0,0.0,0.2152,4759.59,17430.89,-17877.49,6.51,115.39,-138.64,HELLO
0.0104,0.0,0.0,0.0,0.2645,4627.59,17326.89,-17729.49,59.51,111.39,-163.64,HELLO
0.0167,0.0,0.0,0.0,0.2998,4663.59,17258.89,-17333.49,2.51,-99.61,-57.64,HELLO
0.018,0.0,0.0,0.0,0.2645,4863.59,17226.89,-17409.49,-58.49,240.39,-95.64,HELLO
0.0066,0.0,0.0,0.0,0.1835,4703.59,17282.89,-17613.49,-16.49,238.39,38.36,HELLO
0.0091,0.0,0.0,0.0,0.106,4771.59,17306.89,-17477.49,-3.49,12.39,77.36,HELLO
0.0053,0.0,0.0,0.0,0.0285,4967.59,17410.89,-17701.49,-62.49,67.39,11.36,HELLO
0.0091,0.0,0.0,0.0341,0.0039,4971.59,17350.89,-17565.49,-54.49,-196.61,2.36,HELLO
0.0104,0.0,0.0,0.0,0.0356,5171.59,17382.89,-17781.49,-81.49,48.39,-85.64,HELLO
0.0028,0.0,0.0,0.0,0.1201,4759.59,17362.89,-17913.49,-97.49,54.39,-215.64,HELLO
0.0066,0.0,0.0,0.0,0.2187,4599.59,17394.89,-17693.49,-91.49,-422.61,-204.64,HELLO
0.0104,0.0,0.0,0.0,0.2927,4915.59,17470.89,-17497.49,-72.49,-395.61,-143.64,HELLO
0.0117,0.0,0.0,0.0,0.3103,4603.59,17494.89,-17565.49,-83.49,-26.61,-164.64,HELLO
0.0129,0.0,0.0,0.0,0.2821,4603.59,17294.89,-17501.49,170.51,66.39,-162.64,HELLO
0.0104,0.0,0.0,0.0,0.187,4551.59,17510.89,-17645.49,350.51,-96.61,-22.64,HELLO
0.0091,0.0,0.0,0.0,0.1095,4915.59,17490.89,-17593.49,266.51,-59.61,-26.64,HELLO
0.0041,0.0,0.0,0.0,0.0567,4751.59,17398.89,-17789.49,157.51,240.39,-112.64,HELLO
0.0028,0.0,0.0,0.0037,0.0144,4587.59,17250.89,-17877.49,156.51,-129.61,-28.64,HELLO
0.0028,0.0,0.0,0.0,0.0638,4727.59,17330.89,-17905.49,159.51,-172.61,-39.64,HELLO
0.0053,0.0,0.0,0.0,0.1412,4759.59,17418.89,-17773.49,-22.49,-136.61,-82.64,HELLO
